Gene	Chr	Start	End	SNP	Pvalue
RPS17L	15	83205504	83209315	rs4779050	5.036E-09
CELF1	11	47487496	47587121	rs12285419	1.071E-16
CHKB	22	51017378	51039884	rs6010045	1.418E-08
HIP1R	12	123319000	123347507	rs2102949	3.34E-23
CDC25C	5	137620954	137674044	rs10117	7.359E-12
ANKS3	16	4746513	4784379	rs8048039	1.05E-08
GRM1	6	146348782	146758734	rs2206956	1.396E-09
GRM2	3	51741086	51752629	rs2710323	6.552E-21
GRM3	7	86273230	86494200	rs6943762	1.828E-16
ALPK3	15	85359911	85416713	rs11638554	1.369E-14
MAU2	19	19431490	19469563	rs1858999	2.982E-15
NMRAL1	16	4511681	4545764	rs8048039	1.05E-08
CUX2	12	111471828	111788358	rs4766428	3.584E-17
LINGO3	19	2289774	2308156	rs144821294	1.448E-08
CENPBD1	16	90036206	90038942	rs11076631	7.285E-10
CAMSAP2	1	200708686	200829832	rs12126806	2.838E-08
CD14	5	140011313	140013286	rs10069930	1.726E-10
RP11-101E3.5	9	131703757	131719300	rs6478858	2.473E-08
HBCBP	12	57390745	57391335	rs61937595	3.074E-15
INA	10	105036920	105050108	rs79668541	2.389E-24
ACP5	19	11685475	11689823	rs72986630	2.625E-10
SDCCAG8	1	243419320	243663394	rs61833239	5.941E-12
ASH2L	8	37962760	38001594	rs7816998	6.229E-10
MPP6	7	24612887	24733812	rs79210963	5.39E-12
ANKRD36	2	97779233	97930258	rs7575796	2.921E-08
ZNF835	19	57174020	57183151	rs758749	1.424E-08
ANKRD39	2	97502348	97523832	rs7575796	2.921E-08
CDIPT	16	29869678	29875057	rs3814883	2.791E-16
BSN	3	49591922	49708978	rs2710323	6.552E-21
CISH	3	50643921	50649262	rs2710323	6.552E-21
DDB2	11	47236493	47260767	rs12285419	1.071E-16
KIF21A	12	39687030	39837192	rs1463209	4.988E-10
RIMS1	6	72596406	73112845	rs1856507	1.903E-10
KIF21B	1	200938520	200992828	rs12126806	2.838E-08
P4HTM	3	49027319	49044587	rs2710323	6.552E-21
ZNF470	19	57078880	57100279	rs758749	1.424E-08
JSRP1	19	2252251	2269758	rs144821294	1.448E-08
SLC27A3	1	153746830	153752633	rs10127983	1.18E-08
ZFYVE21	14	104182067	104200005	rs10873538	1.702E-14
SLC17A4	6	25754927	25781419	rs13195636	2.901E-41
SLC17A1	6	25783125	25832287	rs13195636	2.901E-41
SLC17A2	6	25912982	25930946	rs13195636	2.901E-41
SLC17A3	6	25833294	25882514	rs13195636	2.901E-41
HSPE1	2	198364718	198368181	rs2914983	2.058E-14
PBRM1	3	52579368	52719933	rs2710323	6.552E-21
CDIP1	16	4560676	4588829	rs8048039	1.05E-08
PRKD1	14	30045687	30661104	rs17571951	1.308E-09
C3orf49	3	63805038	63834312	rs704364	7.071E-10
AP5B1	11	65543364	65548273	rs58950470	1.604E-09
FAM109B	22	42470255	42475445	rs5751191	2.181E-14
ZNF491	19	11908482	11920437	rs72986630	2.625E-10
C15orf56	15	40542865	40545170	rs56205728	1.247E-11
C15orf52	15	40623653	40633168	rs56205728	1.247E-11
AC110781.3	7	1878222	1889567	rs58120505	2.838E-27
AC008948.1	5	101569696	101571279	rs1901512	2.05E-08
TOB2	22	41829496	41843027	rs5751191	2.181E-14
CDK10	16	89747145	89762772	rs11076631	7.285E-10
FMO5	1	146646930	146714700	rs61838369	3.581E-08
KLF6	10	3818188	3827473	rs17731	5.571E-13
PSMC3	11	47440320	47447993	rs12285419	1.071E-16
KIF18A	11	28042167	28129855	rs10767734	4.049E-10
PRSS16	6	27215480	27224403	rs13195636	2.901E-41
TPH2	12	72332626	72580398	rs12301769	4.516E-09
FAM216A	12	110906169	110928190	rs4766428	3.584E-17
AGO4	1	36273773	36323491	rs581459	1.48E-09
IFT172	2	27667238	27712656	rs12474906	1.155E-08
MUSTN1	3	52867130	52869235	rs2710323	6.552E-21
IFT81	12	110562140	110656602	rs4766428	3.584E-17
MAP3K11	11	65365226	65382853	rs58950470	1.604E-09
MAP3K12	12	53874274	53893847	rs61928076	4.227E-08
ADNP2	18	77866915	77905406	rs72980087	1.015E-16
LIN7C	11	27516123	27528320	rs36029218	4.287E-08
KIAA1549	7	138516126	138666064	rs10243922	3.126E-09
TGM7	15	43568478	43594453	rs2929278	1.592E-12
LRRC43	12	122652285	122688018	rs143116451	1.442E-09
CIR1	2	175212750	175260443	rs9287971	8.872E-09
ENTHD1	22	40139049	40289868	rs732381	3.356E-13
B3GNT4	12	122688090	122693499	rs143116451	1.442E-09
GNL1	6	30509154	30524951	rs13195636	2.901E-41
RARG	12	53604354	53626764	rs61928076	4.227E-08
SLX1A	16	30205208	30208882	rs3814883	2.791E-16
EIF3B	7	2393721	2420380	rs58120505	2.838E-27
FNBP4	11	47738072	47788995	rs12285419	1.071E-16
MTMR7	8	17155539	17271037	rs7845103	3.253E-08
SETD6	16	58549383	58554431	rs154433	3.352E-08
MAS1L	6	29454474	29455738	rs13195636	2.901E-41
DAAM1	14	59655364	59838123	rs113239787	3.777E-08
CCDC159	19	11455360	11465620	rs322128	2.606E-09
LRRC4B	19	51020149	51071302	rs2387414	2.048E-10
MTCH2	11	47638867	47664175	rs12285419	1.071E-16
TRAIP	3	49866034	49894007	rs2710323	6.552E-21
DND1	5	140050379	140053171	rs10069930	1.726E-10
TAS1R1	1	6615241	6639817	rs11122119	8.494E-09
CD2BP2	16	30362087	30366682	rs3814883	2.791E-16
FAM73B	9	131798900	131834361	rs6478858	2.473E-08
ADAMTSL3	15	84322838	84708594	rs11638554	1.369E-14
MADD	11	47290712	47351582	rs12285419	1.071E-16
YJEFN3	19	19627036	19648390	rs1858999	2.982E-15
ADAMTSL4	1	150521884	150533413	rs12138231	1.809E-09
GNAI2	3	50263724	50296787	rs2710323	6.552E-21
CYB561	17	61509665	61523739	rs6504163	8.246E-10
ATRIP	3	48488114	48507115	rs2710323	6.552E-21
C1orf51	1	150254953	150259505	rs12138231	1.809E-09
C1orf56	1	151020216	151024462	rs12138231	1.809E-09
C1orf54	1	150240600	150253327	rs12138231	1.809E-09
PCDH17	13	58205944	58303445	rs9569820	3.156E-09
LINC00696	3	52097076	52097567	rs2710323	6.552E-21
ALKBH6	19	36500022	36505141	rs3810450	2.294E-09
TRNAU1AP	1	28879597	28905051	rs61786047	2.458E-08
PRR13	12	53835389	53840429	rs61928076	4.227E-08
SCYL1	11	65292548	65306175	rs58950470	1.604E-09
SET	9	131445703	131458679	rs6478858	2.473E-08
CLSPN	1	36185819	36235568	rs581459	1.48E-09
DNAJB7	22	41255553	41258130	rs5751191	2.181E-14
GPATCH11	2	37311594	37326387	rs3770752	1.952E-11
SDR9C7	12	57316938	57328189	rs61937595	3.074E-15
HYPK	15	44088340	44095241	rs2929278	1.592E-12
FANCL	2	58386378	58468507	rs2717003	1.912E-21
FANCI	15	89787180	89860492	rs2238304	8.131E-11
SUGP1	19	19386827	19431653	rs1858999	2.982E-15
ENO1	1	8921061	8939308	rs11121172	5.064E-10
DYNAP	18	52254988	52266724	rs9636107	6.216E-14
CLU	8	27454434	27472548	rs73229090	3.146E-13
TAOK2	16	29984962	30003582	rs3814883	2.791E-16
SYCP1	1	115397424	115537991	rs2224086	6.777E-09
C12orf65	12	123717463	123742506	rs2102949	3.34E-23
LPAR2	19	19734477	19739739	rs1858999	2.982E-15
HAPLN4	19	19366450	19373605	rs1858999	2.982E-15
PTK7	6	43044006	43129457	rs113113059	1.306E-11
SF3B1	2	198254508	198299815	rs2914983	2.058E-14
SPECC1	17	19912657	20222339	rs9891739	1.847E-08
CYP17A1	10	104590288	104597290	rs79668541	2.389E-24
MCL1	1	150547032	150552066	rs12138231	1.809E-09
RERE	1	8412457	8877702	rs11121172	5.064E-10
SCARA3	8	27491385	27534293	rs73229090	3.146E-13
ELAC2	17	12895708	12921504	rs73292401	6.339E-10
DDHD2	8	38082736	38133076	rs7816998	6.229E-10
HSPD1	2	198351305	198381461	rs2914983	2.058E-14
DNAJC11	1	6694228	6761984	rs11122119	8.494E-09
PACSIN3	11	47199076	47207994	rs12285419	1.071E-16
DNAJC19	3	180701497	180707562	rs7647398	1.074E-17
ENDOG	9	131580753	131584956	rs6478858	2.473E-08
PRKCD	3	53190025	53226733	rs2710323	6.552E-21
TANC2	17	61086917	61505060	rs6504163	8.246E-10
HIST1H3B	6	26031817	26032288	rs13195636	2.901E-41
HIST1H3C	6	26045639	26046097	rs13195636	2.901E-41
CES3	16	66995140	67009051	rs77463171	8.688E-09
HIST1H3A	6	26020718	26021186	rs13195636	2.901E-41
HIST1H3F	6	26250370	26250835	rs13195636	2.901E-41
HIST1H3G	6	26271146	26271612	rs13195636	2.901E-41
HIST1H3D	6	26197068	26199521	rs13195636	2.901E-41
HIST1H3E	6	26225383	26225844	rs13195636	2.901E-41
HIST1H3J	6	27858093	27860884	rs13195636	2.901E-41
HIST1H3H	6	27777842	27778314	rs13195636	2.901E-41
HIST1H3I	6	27839623	27840099	rs13195636	2.901E-41
BDH2	4	104000592	104021040	rs13107325	4.671E-23
SEC11A	15	85212775	85259947	rs11638554	1.369E-14
PFKFB4	3	48555117	48599448	rs2710323	6.552E-21
RAPSN	11	47459308	47470730	rs12285419	1.071E-16
GPR135	14	59895740	59932060	rs113239787	3.777E-08
OR4X1	11	48285413	48286330	rs12285419	1.071E-16
OR4X2	11	48266608	48267622	rs12285419	1.071E-16
AC074091.13	2	27928653	27938599	rs12474906	1.155E-08
QARS	3	49133365	49142553	rs2710323	6.552E-21
PARD6G	18	77915115	78005429	rs72980087	1.015E-16
SLCO6A1	5	101707486	101834720	rs1901512	2.05E-08
AMIGO3	3	49754267	49761349	rs2710323	6.552E-21
CCDC92	12	124403207	124457378	rs12311848	4.797E-08
HIST1H1A	6	26017260	26018040	rs13195636	2.901E-41
TRPV4	12	110220890	110271212	rs4766428	3.584E-17
SETDB1	1	150898739	150937213	rs12138231	1.809E-09
TTBK1	6	43211418	43255997	rs113113059	1.306E-11
KIAA0319L	1	35899091	36023551	rs581459	1.48E-09
CTSK	1	150768684	150780799	rs12138231	1.809E-09
CCDC71	3	49199968	49203754	rs2710323	6.552E-21
GLB1L2	11	134201768	134248235	rs1440480	6.694E-12
SH3GLB2	9	131769315	131790582	rs6478858	2.473E-08
CCDC79	16	66788879	66835523	rs77463171	8.688E-09
SETD8	12	123868320	123893905	rs2102949	3.34E-23
RPL13	16	89627065	89630950	rs11076631	7.285E-10
CTSS	1	150702672	150738433	rs12138231	1.809E-09
FGFR1	8	38268656	38326352	rs7816998	6.229E-10
CTC-260F20.3	19	19627036	19646885	rs1858999	2.982E-15
NME5	5	137450866	137475132	rs10117	7.359E-12
NME6	3	48334754	48343175	rs2710323	6.552E-21
TRANK1	3	36868311	36986548	rs75968099	3.045E-12
INPP5K	17	1397865	1420182	rs3752827	1.446E-10
FKBP1C	6	63921351	63922929	rs9341835	1.156E-08
MSANTD2	11	124636394	124670569	rs1940171	1.624E-12
TNRC6B	22	40440821	40731812	rs5751191	2.181E-14
EMB	5	49692026	49739082	rs8175378	6.621E-10
EPB42	15	43398423	43513481	rs2929278	1.592E-12
EPB41	1	29213603	29446553	rs61786047	2.458E-08
PCNXL3	11	65383244	65404910	rs58950470	1.604E-09
AC018470.1	2	175200601	175202151	rs9287971	8.872E-09
TEKT2	1	36549676	36553876	rs581459	1.48E-09
VPS37B	12	123349882	123380991	rs2102949	3.34E-23
VPS37A	8	17104080	17159936	rs7845103	3.253E-08
SLCO4C1	5	101569690	101632253	rs1901512	2.05E-08
LGALS9B	17	20352708	20370852	rs9891739	1.847E-08
NKAIN2	6	124125286	125146803	rs1542560	3.514E-08
MAP1A	15	43803156	43823818	rs2929278	1.592E-12
IGSF9B	11	133778459	133826880	rs4936215	4.156E-15
AC106017.1	17	19122674	19125839	rs4073003	2.651E-12
GCKR	2	27719709	27746554	rs12474906	1.155E-08
TUBB3	16	89987800	90005169	rs11076631	7.285E-10
RP11-597K23.2	15	82380935	82390035	rs4779050	5.036E-09
SFPQ	1	35641979	35658749	rs581459	1.48E-09
ATG13	11	46638826	46696368	rs12285419	1.071E-16
MAN2A1	5	109025067	109205326	rs35164357	3.934E-11
FRMD5	15	44162962	44487450	rs2929278	1.592E-12
CEBPZ-AS1	2	37423631	37443336	rs3770752	1.952E-11
MEF2BNB-MEF2B	19	19256376	19302967	rs1858999	2.982E-15
UBA7	3	49842640	49851379	rs2710323	6.552E-21
CDHR4	3	49828165	49837268	rs2710323	6.552E-21
PDP2	16	66912492	66929657	rs77463171	8.688E-09
C1orf43	1	154179182	154193104	rs10127983	1.18E-08
BTBD18	11	57510986	57519253	rs7938083	1.041E-10
HARS	5	140052758	140071609	rs10069930	1.726E-10
VPS45	1	150039369	150117505	rs12138231	1.809E-09
DESI1	22	41994032	42017100	rs5751191	2.181E-14
WBP1L	10	104503727	104576021	rs79668541	2.389E-24
C19orf80	19	11348178	11352619	rs322128	2.606E-09
MORF4L1	15	79102829	79190475	rs2456020	6.32E-16
NDUFA6	22	42481529	42486959	rs5751191	2.181E-14
NDUFA2	5	140018325	140027370	rs10069930	1.726E-10
RUNDC3B	7	87256864	87461611	rs13233308	3.794E-08
PLEKHM1	17	43513266	43568115	rs2532240	8.299E-11
GPR62	3	51989330	51991509	rs2710323	6.552E-21
ADAM22	7	87563458	87832204	rs13233308	3.794E-08
GMEB1	1	28995244	29045865	rs61786047	2.458E-08
SLC47A1	17	19398698	19482347	rs4073003	2.651E-12
SLC43A1	11	57252007	57283259	rs7938083	1.041E-10
RP11-152F13.10	15	83208783	83224682	rs4779050	5.036E-09
DFNA5	7	24737972	24809244	rs79210963	5.39E-12
TBL1XR1	3	176737143	176915261	rs7609876	1.839E-08
WNT3	17	44839872	44910520	rs2532240	8.299E-11
NAA11	4	80146848	80247204	rs28454198	3.665E-09
LRRN3	7	110731062	110765510	rs38752	2.237E-14
OVOL3	19	36602104	36604613	rs3810450	2.294E-09
EFHD1	2	233470767	233547491	rs778371	3.759E-18
HIST1H2AK	6	27805658	27806117	rs13195636	2.901E-41
ANKHD1	5	139781399	139929163	rs10069930	1.726E-10
EIF5	14	103799881	103811362	rs10873538	1.702E-14
HIST1H2AE	6	26217165	26217711	rs13195636	2.901E-41
RBMS3	3	29322473	30051886	rs1506297	1.933E-08
GNE	9	36214438	36277053	rs2381411	1.961E-09
TXNL4A	18	77732867	77793949	rs72980087	1.015E-16
ANKRD11	16	89334038	89556969	rs11076631	7.285E-10
KLF10	8	103661007	103668130	rs7002992	1.679E-09
APOPT1	14	104029299	104073860	rs10873538	1.702E-14
TFAP2E	1	36038971	36060929	rs581459	1.48E-09
NSF	17	44668035	44834830	rs2532240	8.299E-11
HIST1H2AC	6	26124373	26139344	rs13195636	2.901E-41
HIST1H2AB	6	26033320	26033796	rs13195636	2.901E-41
NT5C2	10	104845940	104953056	rs79668541	2.389E-24
CPT1C	19	50194155	50216988	rs2304205	3.469E-15
ANXA9	1	150954493	150968110	rs12138231	1.809E-09
MSI2	17	55333212	55762046	rs4793888	3.719E-11
COQ10B	2	198318147	198340032	rs2914983	2.058E-14
IK	5	140026643	140042064	rs10069930	1.726E-10
OR14J1	6	29274403	29275519	rs13195636	2.901E-41
FAM53C	5	137667624	137685416	rs10117	7.359E-12
DNPH1	6	43193367	43197222	rs113113059	1.306E-11
TENC1	12	53440753	53458156	rs61928076	4.227E-08
GPR182	12	57388230	57390468	rs61937595	3.074E-15
OPRD1	1	29138654	29190208	rs61786047	2.458E-08
RP11-379H8.1	15	83209620	83231124	rs4779050	5.036E-09
ELOF1	19	11661962	11670051	rs72986630	2.625E-10
TRMT61A	14	103995521	104003410	rs10873538	1.702E-14
RPS19BP1	22	39925098	39928860	rs732381	3.356E-13
DENND2C	1	115125469	115213043	rs2224086	6.777E-09
RP11-347C12.3	16	30215637	30220392	rs3814883	2.791E-16
POM121L2	6	27253682	27279949	rs13195636	2.901E-41
ZNF146	19	36705504	36729676	rs3810450	2.294E-09
WHSC1L1	8	38127215	38239790	rs7816998	6.229E-10
GOT2	16	58741035	58768261	rs154433	3.352E-08
ZNF365	10	64133951	64431771	rs7915131	1.787E-08
RANGAP1	22	41641615	41682255	rs5751191	2.181E-14
EMC10	19	50979657	50986608	rs2387414	2.048E-10
ANKHD1-EIF4EBP3	5	139781493	139929154	rs10069930	1.726E-10
IP6K2	3	48725436	48777786	rs2710323	6.552E-21
IP6K1	3	49761727	49823975	rs2710323	6.552E-21
AC008498.1	5	60411538	60411762	rs7701440	1.696E-17
ROBO1	3	78646390	79816965	rs28490262	1.952E-10
RP11-512M8.5	12	122692326	122750970	rs143116451	1.442E-09
MST1R	3	49924435	49941299	rs2710323	6.552E-21
SERPING1	11	57364860	57382326	rs7938083	1.041E-10
ZNF565	19	36673188	36737159	rs3810450	2.294E-09
TLR9	3	52255097	52265206	rs2710323	6.552E-21
ULK2	17	19674142	19771249	rs9891739	1.847E-08
CCDC63	12	111284573	111345339	rs4766428	3.584E-17
CCDC62	12	123258874	123312075	rs2102949	3.34E-23
HLA-A	6	29909037	29913661	rs13195636	2.901E-41
HLA-G	6	29794744	29798902	rs13195636	2.901E-41
HLA-F	6	29690552	29706305	rs13195636	2.901E-41
HLA-E	6	30457244	30461982	rs13195636	2.901E-41
OTOL1	3	161214596	161221730	rs13090130	1.701E-10
TMEM110	3	52870235	52931612	rs2710323	6.552E-21
TMEM115	3	50392180	50397041	rs2710323	6.552E-21
SLC35A4	5	139944041	139948688	rs10069930	1.726E-10
SLC5A10	17	18853658	18925908	rs4073003	2.651E-12
PRSS35	6	84222194	84235423	rs2022265	2.357E-10
DLX1	2	172949468	172954405	rs62184960	1.559E-08
DLX2	2	172964167	172967628	rs62184960	1.559E-08
ASIC1	12	50451331	50477394	rs578470	4.537E-09
HIST1H2BD	6	26158349	26171577	rs13195636	2.901E-41
HIST1H2BE	6	26183958	26184454	rs13195636	2.901E-41
HIST1H2BF	6	26199748	26200942	rs13195636	2.901E-41
HIST1H2BG	6	26216428	26216872	rs13195636	2.901E-41
HIST1H2BA	6	25727137	25727573	rs13195636	2.901E-41
HIST1H2BB	6	26043455	26043885	rs13195636	2.901E-41
HIST1H2BC	6	26115101	26124154	rs13195636	2.901E-41
HIST1H2BL	6	27775257	27775709	rs13195636	2.901E-41
HIST1H2BM	6	27782822	27783267	rs13195636	2.901E-41
HIST1H2BN	6	27806323	27823487	rs13195636	2.901E-41
HIST1H2BO	6	27861203	27861669	rs13195636	2.901E-41
HIST1H2BH	6	26251879	26252303	rs13195636	2.901E-41
HIST1H2BI	6	26273144	26273622	rs13195636	2.901E-41
HIST1H2BJ	6	27093676	27100541	rs13195636	2.901E-41
HIST1H2BK	6	27106073	27114619	rs13195636	2.901E-41
SLC25A40	7	87462883	87505672	rs13233308	3.794E-08
CDC23	5	137523339	137549032	rs10117	7.359E-12
CDC20	1	43824626	43828874	rs11210892	1.415E-16
ELOVL7	5	60047618	60140216	rs7701440	1.696E-17
PITPNA	17	1421012	1466110	rs3752827	1.446E-10
ELOVL1	1	43829068	43833696	rs11210892	1.415E-16
ACTR5	20	37377085	37400834	rs6065094	5.725E-16
XPNPEP3	22	41253081	41363838	rs5751191	2.181E-14
NRBP2	8	144915764	144924200	rs11136325	1.992E-09
NRBP1	2	27650657	27665126	rs12474906	1.155E-08
SORCS3	10	106400859	107024993	rs7900775	1.127E-08
DIABLO	12	122692210	122712081	rs143116451	1.442E-09
HORMAD1	1	150670536	150693364	rs12138231	1.809E-09
RPL13A	19	49990811	49995565	rs2304205	3.469E-15
SGCD	5	155297354	156194799	rs12652777	1.546E-08
MARS2	2	198570087	198573113	rs2914983	2.058E-14
SPA17	11	124543694	124567414	rs1940171	1.624E-12
MAPK3	16	30125426	30134827	rs3814883	2.791E-16
MAPK7	17	19281034	19286857	rs4073003	2.651E-12
GTDC1	2	144695635	145090135	rs12991836	6.557E-15
DUSP7	3	52082935	52090566	rs2710323	6.552E-21
ARL17B	17	44352150	44439130	rs2532240	8.299E-11
ARL17A	17	44594068	44657088	rs2532240	8.299E-11
GABPB2	1	151043054	151098018	rs12138231	1.809E-09
LRRC8A	9	131644391	131680318	rs6478858	2.473E-08
PHYHD1	9	131683174	131704320	rs6478858	2.473E-08
ANKS1B	12	99120235	100378432	rs529486	3.306E-08
OR5V1	6	29323007	29399744	rs13195636	2.901E-41
AC079602.1	12	121407641	121410095	rs2649999	5.23E-10
PITPNM2	12	123468027	123634562	rs2102949	3.34E-23
TBC1D13	9	131549483	131572711	rs6478858	2.473E-08
MAK16	8	33342268	33358778	rs79445414	1.944E-08
TBC1D15	12	72233487	72320629	rs12301769	4.516E-09
TRIM39-RPP21	6	30297359	30314631	rs13195636	2.901E-41
C1orf106	1	200860176	200884863	rs12126806	2.838E-08
ADAM10	15	58887403	59042177	rs11854073	4.406E-08
GPR52	1	174417212	174418683	rs61828917	8.413E-10
FAM83H	8	144806103	144815971	rs11136325	1.992E-09
FAM83G	17	18872102	18908117	rs4073003	2.651E-12
FAM83D	20	37554955	37581703	rs6065094	5.725E-16
DGKZ	11	46354455	46402104	rs12285419	1.071E-16
C12orf73	12	104343980	104359486	rs10861176	3.453E-09
HCFC2	12	104458235	104498639	rs10861176	3.453E-09
C12orf76	12	110465872	110511491	rs4766428	3.584E-17
C12orf79	12	92378756	92536690	rs7953300	1.886E-08
CPNE7	16	89642176	89663654	rs11076631	7.285E-10
WNT8A	5	137419581	137428054	rs10117	7.359E-12
DGKI	7	137065783	137531838	rs13230189	2.136E-19
MIEF1	22	39895437	39914137	rs732381	3.356E-13
PTGIS	20	48120411	48184683	rs11696755	1.692E-10
ANKRD63	15	40573645	40574787	rs56205728	1.247E-11
USP19	3	49145479	49158371	rs2710323	6.552E-21
SHANK3	22	51112843	51171726	rs6010045	1.418E-08
FAM101A	12	124457788	124800570	rs12311848	4.797E-08
FAM63A	1	150969025	150980851	rs12138231	1.809E-09
SBNO1	12	123773656	123849390	rs2102949	3.34E-23
FAM63B	15	59063391	59154099	rs11854073	4.406E-08
UNC45A	15	91473410	91497323	rs4702	1.373E-24
SLC4A1AP	2	27886338	27917840	rs12474906	1.155E-08
C1orf95	1	226736501	226796915	rs41314284	2.544E-08
ZBTB43	9	129567285	129600489	rs3739554	3.97E-09
ZBTB48	1	6640061	6649340	rs11122119	8.494E-09
FLT3LG	19	49977464	49989488	rs2304205	3.469E-15
ZDHHC12	9	131483148	131486406	rs6478858	2.473E-08
FAM222A	12	110152033	110208312	rs4766428	3.584E-17
ANP32E	1	150190717	150208504	rs12138231	1.809E-09
SEMA4C	2	97525453	97536494	rs7575796	2.921E-08
DUSP26	8	33448856	33457624	rs79445414	1.944E-08
C10orf113	10	21414692	21435488	rs2119242	1.143E-08
OTUD7B	1	149909705	149982625	rs12138231	1.809E-09
NCAN	19	19322782	19363042	rs1858999	2.982E-15
OR12D2	6	29364416	29365448	rs13195636	2.901E-41
OR12D3	6	29341200	29343068	rs13195636	2.901E-41
ALMS1	2	73612886	73837920	rs6546857	5.58E-09
ESPL1	12	53662083	53687427	rs61928076	4.227E-08
C3orf18	3	50595462	50608458	rs2710323	6.552E-21
SLC9C2	1	173469603	173572233	rs61828917	8.413E-10
LARP4	12	50786166	50873787	rs578470	4.537E-09
FXR1	3	180585929	180700541	rs7647398	1.074E-17
NEGR1	1	71861623	72748417	rs1121296	2.919E-10
TTI2	8	33330904	33371119	rs79445414	1.944E-08
SCGN	6	25652464	25702011	rs13195636	2.901E-41
ANGPTL2	9	129849611	129885162	rs3739554	3.97E-09
MFAP3	5	153418466	153600038	rs11740474	4.025E-09
KLC4	6	43008515	43042837	rs113113059	1.306E-11
ZNF771	16	30418618	30440920	rs3814883	2.791E-16
FBXW12	3	48413709	48442666	rs2710323	6.552E-21
LGR4	11	27387508	27494322	rs36029218	4.287E-08
MMP16	8	89044237	89340254	rs1915019	1.18E-10
UBE2D2	5	138906016	139008018	rs9687282	8.101E-09
UBE2D3	4	103715540	103790053	rs13107325	4.671E-23
OR2W1	6	29011990	29013017	rs13195636	2.901E-41
BNIPL	1	151009046	151020076	rs12138231	1.809E-09
CHCHD3	7	132469629	132766848	rs35792732	6.645E-09
MST1	3	49721380	49726934	rs2710323	6.552E-21
OVCA2	17	1945327	1946724	rs12943566	1.401E-11
ZNF512	2	27805897	27858041	rs12474906	1.155E-08
ZNF513	2	27600098	27603657	rs12474906	1.155E-08
CCDC51	3	48473574	48481866	rs2710323	6.552E-21
AC109829.1	2	27760253	27790011	rs12474906	1.155E-08
SLC39A8	4	103172198	103352415	rs13107325	4.671E-23
SLC39A1	1	153931575	153940188	rs10127983	1.18E-08
VPRBP	3	51433298	51534010	rs2710323	6.552E-21
SULT4A1	22	44220389	44258398	rs76365544	3.854E-08
CABP1	12	121078355	121105127	rs2649999	5.23E-10
ATXN7	3	63850233	63989138	rs704364	7.071E-10
NAB2	12	57482677	57489259	rs61937595	3.074E-15
SOAT2	12	53497302	53518322	rs61928076	4.227E-08
AKAP10	17	19807615	19881656	rs9891739	1.847E-08
APBB3	5	139937853	139973337	rs10069930	1.726E-10
SPI1	11	47376411	47400127	rs12285419	1.071E-16
WNT9B	17	44910567	44964096	rs2532240	8.299E-11
ALAS1	3	52232102	52248343	rs2710323	6.552E-21
GARNL3	9	129986544	130155939	rs3739554	3.97E-09
WBSCR17	7	70597155	71178585	rs10238960	8.9E-09
SP7	12	53720362	53739099	rs61928076	4.227E-08
SPIB	19	50922195	50934570	rs2387414	2.048E-10
SCAF1	19	50145382	50161899	rs2304205	3.469E-15
ABT1	6	26597180	26600278	rs13195636	2.901E-41
MEF2BNB	19	19287712	19303400	rs1858999	2.982E-15
METTL15	11	28129795	28355054	rs10767734	4.049E-10
RBM6	3	49977440	50137478	rs2710323	6.552E-21
RBM5	3	50126341	50156454	rs2710323	6.552E-21
RP11-123K3.4	12	57643392	57690267	rs61937595	3.074E-15
SPCS1	3	52738971	52742182	rs2710323	6.552E-21
BAP1	3	52435029	52444366	rs2710323	6.552E-21
WDR82	3	52288437	52322036	rs2710323	6.552E-21
CAD	2	27440258	27466811	rs12474906	1.155E-08
MEF2C	5	88013975	88199922	rs115325222	1.746E-09
SHISA5	3	48509197	48542259	rs2710323	6.552E-21
ATP13A1	19	19756007	19774502	rs1858999	2.982E-15
VPS29	12	110928902	110939922	rs4766428	3.584E-17
IMPDH2	3	49061758	49066841	rs2710323	6.552E-21
HNF1A	12	121416346	121440315	rs2649999	5.23E-10
SRA1	5	139916925	139937895	rs10069930	1.726E-10
QRICH1	3	49067140	49131796	rs2710323	6.552E-21
ADAT2	6	143743969	143771810	rs9390083	1.247E-08
IL31	12	122656577	122658746	rs143116451	1.442E-09
PLEKHO1	1	150121373	150136916	rs12138231	1.809E-09
NXPH1	7	8473585	8792593	rs11972718	2.49E-08
CA8	8	61099906	61193971	rs6984242	2.068E-10
ARSA	22	51061182	51066607	rs6010045	1.418E-08
EXOC4	7	132937829	133751342	rs35792732	6.645E-09
SHISA8	22	42307297	42310570	rs5751191	2.181E-14
CA7	16	66878282	66888056	rs77463171	8.688E-09
CA6	1	9005926	9035151	rs11121172	5.064E-10
PPP1R13B	14	104200089	104313927	rs10873538	1.702E-14
FUT9	6	96463860	96663488	rs6925964	2.84E-08
TUSC5	17	1182957	1204281	rs3752827	1.446E-10
TUSC2	3	50357458	50365682	rs2710323	6.552E-21
RLBP1	15	89753100	89764982	rs2238304	8.131E-11
PTK2B	8	27168999	27316903	rs73229090	3.146E-13
IZUMO4	19	2096380	2099592	rs144821294	1.448E-08
TNNC1	3	52485118	52488086	rs2710323	6.552E-21
ADAMTS7	15	79051545	79103773	rs2456020	6.32E-16
VPS9D1	16	89773542	89787394	rs11076631	7.285E-10
AMPD1	1	115215719	115238239	rs2224086	6.777E-09
